,_id,Datetime,Tweet Id,Text,Username
0,641e939aaf9b5844fe895a5b,1678836711000,1635785845985689600,"@gt62726646 @zoo_bear Adani is facing the stock market rout everyday and still standing. Why opposition doesn't bring up case against him in the court? Why they don't cancel his contracts in Punjab, Kerala? 
Also where was Hindenberg when American banks commited frauds and failed.",Avyay46766697
1,641e939aaf9b5844fe895a5c,1678836603000,1635785391306571776,"@Jairam_Ramesh Go n ask HINDENBERG ABT SVB? IF YOU FEEL THEY R ECPERTS, NUTERSL NOT CRISIS CRESTERS YO BUY THE STOCK THEY TARGET TO MAKE MINEY N SELL PATER FOR PROFIT, SHAME IN ALL THESE YRS U LEARNT NOTHING BUT scams  crimes riots2displace challangers2G family leadership",AstroPrashant
2,641e939aaf9b5844fe895a5d,1678836407000,1635784571454394368,Rahul Gandhi ji ki London speeches ke bahane Modi Sarkar  Hindenberg report se bhag rahi hai-anand Goel,AnandKu93696732
3,641e939aaf9b5844fe895a5e,1678834803000,1635777842062524420,@PaulEremenko Hindenberg.,PapaLaz24281810
4,641e939aaf9b5844fe895a5f,1678832436000,1635767913817808896,"@sommecourt @OldFrontLinePod Apologies for missing what sounds like another great evening .... scuppered by grandparental babysitting duties, though I did manage to listen to 'The Hindenberg Line' podcast once William was asleep - marvellous as usual.",htcRichardCroft
5,641e939aaf9b5844fe895a60,1678831536000,1635764137237045249,@Yuvi_A7 Whr m i defending Hindenberg.I know exactly what they do.They r predators. They r out thr to make profit. As long as they can make profits all is good for them. It doesn’t matter if some prey gets away.They r not the Federal Govt or regulators.They r not expected to catch every1!,MaithiliMuses
6,641e939aaf9b5844fe895a61,1678826770000,1635744149273219074,Hindenberg targeted an Indian conglomerate and mentioned that indian banks might be in trouble and now their banks are drowning and adani is recovering. Nice work #HidenbergResearch #hypocrite,akshay10027
7,641e939aaf9b5844fe895a62,1678826667000,1635743719113768960,"@drthomasisaac Both Britain and America are being bankrupt in many walks of life. The whole world knows well what hypocrisy both Hindenberg report and the BBC played to destabilize India. So we tell, ""As you sow, so shall you reap.""!!",Chinnanagouda1
8,641e939aaf9b5844fe895a63,1678825584000,1635739175243882496,@SanjayAzadSln @OberoiShelly Hindenberg को अपने देश के दो बैंक ( SVB) और सिग्नेचर bank के डूबने का कोई पता नहीं चला और अड़ानी का हिसाब बता रहा है और तुम जैसे उसके पीछे लग गए,sanjaymoscow
9,641e939aaf9b5844fe895a64,1678823582000,1635730776091406336,@pbhushan1 And no msg too from Hindenberg. Why is it so ?,NaveenRChandra2
